1M,4M,7M,13M,period
179.366401977285,180.57145805280905,181.90190187768144,184.13214457099787,2015-July
179.67617449018218,181.01221653507088,182.49542443807536,185.04507094546017,2015-August
180.8395942373159,181.68730721739612,182.67073376056663,184.35512308900195,2015-September
182.17701141937417,183.90084346332856,185.79423044177304,189.07433109388813,2015-October
183.1478265688175,184.43916613882865,185.8927868168919,188.37421926658473,2015-November
183.96358416360437,185.17486341864952,186.54715790430922,188.8163400559247,2015-December
185.1137034328755,187.1750660092944,189.46638123252123,193.4223619163168,2016-January
186.17615957507593,189.29316254849329,192.65746242145303,198.4847494631265,2016-February
187.7598306530752,191.29838570183324,195.103524682776,201.6302521740599,2016-March
188.08500375978448,191.8904216546898,196.01623254181467,203.0744256197025,2016-April
188.31945231043048,191.45966639698437,194.92765882697273,200.7997607853033,2016-May
188.57955557429818,190.76000617316438,193.26479356170756,197.3949616802344,2016-June
189.5736483844905,192.76022611585884,196.3562341154459,202.45876211548207,2016-July
189.51515367115366,191.76942658901118,194.4598991617845,199.03405187408322,2016-August
190.99683427966593,193.43420937183518,196.328260874399,201.27947052849746,2016-September
192.08920351776646,194.96006753832853,198.322961692816,204.0934343845243,2016-October
192.9593973729417,194.74875270468675,196.99102979159048,200.7346170990318,2016-November
194.04490996806985,195.24692052745317,196.85715135704703,199.3850394714476,2016-December
195.5957214719284,197.77210513853106,200.32290987459265,204.42534935976627,2017-January
196.79839406829407,199.87918523235703,203.4427995661886,209.33802505162149,2017-February
198.98728641114795,203.3762538569168,208.26086760213715,216.37547030944336,2017-March
198.55767840000837,202.1093097249053,206.2495684828287,213.12719046410922,2017-April
199.22223802909875,202.72418719608868,206.82639761520522,213.60046610623104,2017-May
199.47743294219921,202.06170757897746,205.2074704510551,210.1951974399917,2017-June
200.20448114983978,201.8236342324592,203.99568928146937,207.2868941476154,2017-July
200.41774279077464,201.8753874450575,203.98826817475913,207.26353277578315,2017-August
202.98081055067541,205.63300575838844,208.9138828479846,214.17929770727656,2017-September
